Category,Draft7 claim,Corrected code-grounded statement,Primary evidence
Tech stack,"Node.js + Express + MongoDB/Firebase + Mongoose","Next.js App Router (React 19) with Next API route handlers; Supabase/PostgreSQL for data layer; no Express or MongoDB runtime path in repo","package.json; src/app/api/**/route.ts; supabase/schema.sql"
Payments,"Generic donation recording without provider-specific ledger workflow","Razorpay checkout + signed webhook reconciliation + donation_ledger and payment_webhook_events audit trail; Stripe webhook endpoint is explicitly deprecated (410)","src/app/api/payments/checkout-session/route.ts; src/app/api/payments/razorpay/webhook/route.ts; src/app/api/payments/stripe/webhook/route.ts"
Data model,"Users-Projects-Activities-Donations-ImpactMetrics (5-entity model)","Multi-tenant relational schema with tenants, memberships, campaigns, donors, donations, ledgers, volunteer tables, expenses, audit logs, webhook events, reporting views","supabase/schema.sql; supabase/migrations/20260415_add_reporting_views.sql"
Architecture,"Three-tier architecture with Express service layer","Next.js full-stack architecture: App Router pages + route handlers + Supabase clients + middleware session refresh","middleware.ts; src/app/**/page.tsx; src/app/api/**/route.ts; src/lib/server/*.ts"
Auth and RBAC,"JWT auth claim described generically","Supabase Auth with tenant_memberships role model (donor, volunteer, org_admin) and route-level role enforcement in server helpers","src/lib/server/auth.ts; src/lib/server/data.ts"
Feature list,"Project/activity model and claims not aligned with live modules","Implemented modules are campaign funding, donation processing, donor dashboard, volunteer assignments/logs/verification/resources, admin analytics/operations/reports/settings","src/app/**/page.tsx; src/app/api/**/route.ts; src/lib/server/data.ts"
Routes,"Unspecified/legacy endpoint families","Concrete App Router route inventory with role-scoped API namespaces (public, donor, volunteer, admin, payments, auth, health)","src/app/**/page.tsx; src/app/api/**/route.ts"
Requirements (functional/non-functional),"Includes claims not traceable to code (for example fixed concurrency/uptime values)","Requirements restated from implemented behavior and dependency constraints (RBAC, tenant scope, signed webhook verification, env-configured integrations)","README.md; src/lib/server/auth.ts; src/lib/server/razorpay.ts; src/app/api/payments/razorpay/webhook/route.ts"
Methodology and SDLC,"Historical agile sprint assertions not evidenced in repository artifacts","Report documents an evidence-first implementation methodology based on repository state and tested API behavior","report/impactledger_corrected.tex (this corrected report)"
Implementation/results/impact,"Performance and impact numbers presented as fixed outcomes","Results section limited to reproducible repository evidence (route coverage, schema scope, integration flows, and test/build observations)","tests/api.integration.test.mjs; package.json scripts; source tree evidence"
